id;modele;id_marque;rappel_marque
303;C4;23;CITROEN
304;C4 AIRCROSS;23;CITROEN
305;C4 CACTUS;23;CITROEN
306;C4 II;23;CITROEN
307;C4 III;23;CITROEN
308;C4 PICASSO;23;CITROEN
309;C4 PICASSO II;23;CITROEN
310;C4 SPACETOURER;23;CITROEN
311;C4 X;23;CITROEN
312;C5;23;CITROEN
313;C5 AIRCROSS;23;CITROEN
314;C5 II;23;CITROEN
315;C5 II TOURER;23;CITROEN
316;C5 X;23;CITROEN
317;C6;23;CITROEN
318;C8;23;CITROEN
319;CX;23;CITROEN
320;CX SERIE2;23;CITROEN
321;D;23;CITROEN
322;DANGEL C15;23;CITROEN
323;DANGEL C25;23;CITROEN
324;DS;23;CITROEN
325;DS3;23;CITROEN
326;DS4;23;CITROEN
327;DS5;23;CITROEN
328;DYANE;23;CITROEN
329;EVASION;23;CITROEN
330;GS;23;CITROEN
331;GSA;23;CITROEN
332;HY;23;CITROEN
333;ID;23;CITROEN
334;JUMPER;23;CITROEN
335;JUMPY;23;CITROEN
336;KATAR;23;CITROEN
337;LN;23;CITROEN
338;LNA;23;CITROEN
339;MEHARI;23;CITROEN
340;NEMO;23;CITROEN
341;SAXO;23;CITROEN
342;SM;23;CITROEN
343;SPACETOURER;23;CITROEN
344;TANGARA;23;CITROEN
345;TRACTION;23;CITROEN
346;VISA;23;CITROEN
347;XANTIA;23;CITROEN
348;XM;23;CITROEN
349;XSARA;23;CITROEN
350;XSARA PICASSO;23;CITROEN
351;ZX;23;CITROEN
352;C-ZEN;24;COURB
353;ATECA;25;CUPRA
354;BORN;25;CUPRA
355;FORMENTOR;25;CUPRA
356;LEON;25;CUPRA
357;DOKKER;26;DACIA
358;DUSTER;26;DACIA
359;JOGGER;26;DACIA
360;LODGY;26;DACIA
361;LOGAN;26;DACIA
362;SANDERO;26;DACIA
363;SANDERO 3;26;DACIA
364;SPRING;26;DACIA
365;ESPERO;27;DAEWOO
366;EVANDA;27;DAEWOO
367;KALOS;27;DAEWOO
368;KORANDO;27;DAEWOO
369;LACETTI;27;DAEWOO
370;LANOS;27;DAEWOO
371;LEGANZA;27;DAEWOO
372;MATIZ;27;DAEWOO
373;MUSSO;27;DAEWOO
374;NEXIA;27;DAEWOO
375;NUBIRA;27;DAEWOO
376;REXTON;27;DAEWOO
377;REZZO;27;DAEWOO
378;33;28;DAF
379;400;28;DAF
380;44;28;DAF
381;46;28;DAF
382;55;28;DAF
383;66;28;DAF
384;VA400;28;DAF
385;VH400;28;DAF
386;APPLAUSE;29;DAIHATSU
387;CHARADE;29;DAIHATSU
388;COPEN;29;DAIHATSU
389;CUORE;29;DAIHATSU
390;DOMINO;29;DAIHATSU
391;FEROZA;29;DAIHATSU
392;GRAN MOVE;29;DAIHATSU
393;HIJET;29;DAIHATSU
394;MATERIA;29;DAIHATSU
395;MOVE;29;DAIHATSU
396;ROCKY;29;DAIHATSU
397;SIRION;29;DAIHATSU
398;TERIOS;29;DAIHATSU
399;TREVIS;29;DAIHATSU
400;YRV;29;DAIHATSU
401;DAIMLER;30;DAIMLER
402;100;31;DATSUN
403;120;31;DATSUN
404;1600;31;DATSUN
405;180;31;DATSUN
406;200;31;DATSUN
407;220;31;DATSUN
408;260;31;DATSUN
409;280;31;DATSUN
410;BLUEBIRD;31;DATSUN
411;CEDRIC;31;DATSUN
412;CHERRY;31;DATSUN
413;KING-CAB;31;DATSUN
414;LAUREL;31;DATSUN
415;PATROL;31;DATSUN
416;PICK-UP;31;DATSUN
417;SILVIA;31;DATSUN
418;STANZA;31;DATSUN
419;SUNNY;31;DATSUN
